id,title,body,insta_url,media_id
11,어촌계장님의 새벽,"어촌계장님 핸드폰엔 알람이 04:00에 맞춰져 있어요. 가두리 상태, 어판 시세, 일기예보를 매일 같은 순서로 확인하십니다. '내가 잘하면 마을이 산다'는 말씀이 묵직하게 남아요. 마을 모두의 새벽이 어떻게 시작되는지 봅니다.

🔗 망남마을 사람들 — 프로필 링크

#망남마을 #어촌계장 #리더십 #완도 #어촌계 #어촌일기 #장인 #로컬리스트 #지역경제 #남도사람",,
12,분망 작업장의 풍경,"공동작업장 한쪽엔 늘 그물 한 무더기, 통발 한 무더기. 정리되어 있어 보이지만 사실은 매일 흐트러지고 매일 다시 정리되는 풍경이에요. 어떤 것은 오래 걸리지만, 어떤 것은 하루도 쉴 수 없습니다.

🔗 망남전복 양식 이야기 — 프로필 링크

#망남마을 #공동작업장 #분망 #어구정리 #양식장 #완도 #어촌일기 #로컬리스트 #일상 #산지직송",,
13,"산지가격 18,000원, 도시는 35,000원?","전복은 산지에서 kg당 18,000원에 거래되는데, 도시 마트에선 35,000원이 넘게 팔려요. 그 차이의 80%는 중간 도매와 유통에서 사라집니다. 직거래는 어가의 생존 문제이고, 도시 소비자에겐 더 신선하고 더 저렴한 선택이에요.

🔗 직거래로 받아보세요 — 프로필 링크

#망남전복 #직거래 #산지직송 #로컬푸드 #공정가격 #어가소득 #어촌계 #도시공동체 #로컬리스트 #완도전복",,
14,캐러셀 — 우리 마을 회의 풍경 (햇빛소득),"지난 3월, 마을 어르신 25분이 강의실에 모였습니다. '망남 햇빛소득마을을 꿈꾸며.' 어업과 태양광이 한 식탁에 올라온 첫 회의. 빔프로젝터 앞에서 어른들이 질문하시는 모습을 6장에 담았어요. 마을의 미래가 만들어지는 자리입니다.

🔗 마을 비전 보기 — 프로필 링크

#망남마을 #햇빛소득 #에너지자립 #마을회의 #어촌신활력 #지속가능 #완도 #로컬리스트 #지역재생 #지방소멸",,
15,"오후 3시, 망남 한뼘 해수욕장","마을 안쪽에 작은 해수욕장이 하나 있어요. 동네 어르신들이 '한뼘'이라 부르시는, 진짜로 한뼘 만한 모래사장. 오후 3시쯤 햇살이 떨어지면 이 동네에서 가장 환한 자리예요. 관광객은 모르지만 동네 사람은 다 아는 곳.

🔗 망남마을 둘러보기 — 프로필 링크

#망남마을 #한뼘해수욕장 #완도 #완도여행 #남도여행 #숨은명소 #슬로우라이프 #어촌일기 #로컬리스트 #힐링",,
16,1kg에 8마리? 미수 가이드,"활전복 주문하실 때 가장 헷갈리는 게 '미수'예요. 1kg에 몇 마리가 들어 있는지를 뜻해요. 8미면 큰 사이즈, 10미면 중간, 12미면 작은 사이즈. 용도별 추천 미수, 카드뉴스로 한 번에 정리해드려요.

🔗 사이즈별 주문 — 프로필 링크

#망남전복 #활전복 #미수가이드 #전복요리 #구매팁 #완도전복 #산지직송 #로컬푸드 #식재료팁 #쇼핑가이드",,
17,릴스 — 30초 만에 보는 전복 손질법,"처음 활전복 받으면 막막하시죠. 마을 어머니가 30초 만에 손질하는 법 알려드릴게요. ① 솔로 닦기 ② 숟가락으로 살 분리 ③ 내장 떼기 ④ 물기 빼기. 이게 다예요. 영상에서 직접 보세요.

🔗 손질법 PDF 다운 — 프로필 링크

#망남전복 #전복손질 #쿠킹팁 #전복요리 #완도전복 #산지직송 #어머니레시피 #릴스 #쿠킹 #로컬푸드",,
18,디지털 생태학교 수업 풍경,"교육문화스테이션 2층 강의실. 6세부터 어르신까지 한 교실에 모여 갯벌 생태와 디지털 도구를 함께 배워요. 오늘은 갯벌 생물 이름을 사진으로 찍어서 AI에게 물어보는 수업. 어르신이 더 즐거워하셔서 깜짝 놀랐어요.

🔗 마을학교 신청 — 프로필 링크

#망남마을 #마을학교 #디지털생태 #생태교육 #완도 #어촌신활력 #평생교육 #로컬리스트 #지역재생 #교육문화스테이션",,
19,마을 입구의 사계절,"마을 입구 표지석 자리에 사계절이 다 다르게 머물러요. 봄엔 진달래, 여름엔 능소화, 가을엔 감, 겨울엔 동백. 같은 풍경이지만 매번 새로워서, 사진 찍는 게 마을 일과가 되었어요.

🔗 망남마을 가는 길 — 프로필 링크

#망남마을 #마을입구 #사계절 #완도 #완도여행 #로컬풍경 #슬로우라이프 #어촌일기 #남도여행 #힐링",,
20,망남마을 4대 거점 시설,"어촌신활력 사업으로 마을엔 4개의 거점이 자리 잡았어요. ① 마을복지센터(2024) ② 교육문화스테이션(2026) ③ 망남활력스테이션(2026) ④ 건강관리실. 각각이 마을의 다른 결을 책임집니다. 카드뉴스로 정리.

🔗 시설 위치 지도 — 프로필 링크

#망남마을 #어촌신활력 #마을복지센터 #교육문화스테이션 #건강관리실 #완도 #지역재생 #로컬리스트 #공공시설 #지방소멸",,
21,캐러셀 — 어머니들의 비법 양념 따라잡기,"마을 어머니 셋의 전복장 비법이 다 달라요. 이순희 어머니는 간장 다섯 큰술, 김명자 어머니는 청양고추 추가, 정복순 어머니는 청주 한 컵. 각자의 손맛이 곧 마을의 다양성. 8장 슬라이드에 다 담았어요.

🔗 전복장 직접 받아보기 — 프로필 링크

#망남마을 #전복장 #어머니레시피 #전통양념 #완도전복 #로컬레시피 #슬로우푸드 #어머니의손맛 #쿠킹 #로컬푸드",,
22,어르신 인터뷰 — '이 바다는 우리 식구입니다',"70년을 망남에서 사신 정 어르신. '이 바다는 우리 식구입니다. 식구는 함부로 못 다루죠.' 한 마디가 오래 남아요. 어업이 단순한 직업이 아니라, 한 가족과 한 바다가 이어지는 생활이라는 게 느껴지는 순간이었어요.

🔗 마을 사람들 더 보기 — 프로필 링크

#망남마을 #어르신인터뷰 #완도 #어촌계 #어촌일기 #남도사람 #지속가능어업 #장인 #로컬리스트 #휴먼다큐",,
23,보관·해동 가이드 (활전복/전복장/밀키트),"택배 받으신 다음 가장 많이 묻는 질문이 보관법이에요. 활전복은 냉장 2일·산소 패킹 시 5일. 전복장은 냉장 30일. 밀키트는 냉동 6개월. 카드뉴스로 한눈에 정리. 사진처럼 한 장씩 저장해서 냉장고에 붙여두세요.

🔗 가이드 PDF 다운 — 프로필 링크

#망남전복 #보관법 #해동가이드 #활전복 #전복장 #밀키트 #쿠킹팁 #식재료보관 #산지직송 #쇼핑가이드",,
24,릴스 — 새벽 4시 분망 현장 ASMR,"말 없이 보세요. 파도 소리, 가두리에서 전복 옮기는 소리, 어르신 숨소리. 새벽 4시의 망남항이 어떤 소리를 내는지 30초만 들어보세요. 일상이 음악이 되는 순간이에요. 🎧

🔗 망남전복 직거래 — 프로필 링크

#망남마을 #ASMR #새벽바다 #분망 #어촌일기 #파도소리 #슬로우라이프 #완도 #릴스 #힐링영상",,
25,어촌계 정기 회의 — 91번째,"어촌계엔 매월 한 번 정기 회의가 있어요. 이번 주가 91번째였습니다. 어획량 보고, 단가 협의, 다음 달 출하 일정. 회의록은 손글씨로 적힙니다. 91번을 같은 자리에 모인 사람들의 이야기, 가벼울 수 없죠.

🔗 마을 활동 더 보기 — 프로필 링크

#망남마을 #어촌계 #정기회의 #완도 #어촌일기 #공동체 #로컬리스트 #지역경제 #지속가능 #남도사람",,
26,산책길에서 만난 풍경,"방문보건 선생님과 어르신들이 함께 걷는 '한뼘 산책 코스'. 마을복지센터 → 어판장 → 한뼘 해수욕장 → 다시 복지센터. 30분이면 한 바퀴. 걷는 게 약이라는 말, 여기선 정말이에요.

🔗 건강관리실 안내 — 프로필 링크

#망남마을 #건강관리실 #방문보건 #산책 #어르신건강 #완도 #어촌신활력 #건강한일상 #슬로우라이프 #로컬리스트",,
27,정기구독 3종 — 스타터 / 패밀리 / 프리미엄,"매주 금요일 발송되는 망남전복 정기구독을 시작했어요. 1인 가구는 스타터, 4인 가구는 패밀리, 모임/선물은 프리미엄. 약정 시 5~10% 할인. 카드뉴스 한 번에 정리.

🔗 정기구독 신청 — 프로필 링크

#망남전복 #정기구독 #구독서비스 #산지직송 #로컬푸드 #완도전복 #1인가구 #가족식탁 #쇼핑가이드 #어촌신활력",,
28,"캐러셀 — 청년이 돌아온 어촌, 5명의 이야기","2010년대 후반부터 청년 귀어인이 한 명씩 마을에 합류했어요. 도시 회사 그만두고 가두리를 잡은 30대, 디자인 전공으로 망남BI를 만든 청년, 마을학교 강사로 합류한 교사. 다섯 분의 이야기를 담았습니다.

🔗 귀어 정착 정보 — 프로필 링크

#망남마을 #귀어귀촌 #청년귀어 #어촌신활력 #지역재생 #로컬크리에이터 #완도 #로컬리스트 #지방소멸 #휴먼스토리",,
29,오늘 들어온 활전복 사이즈 비교,"오늘 새벽에 들어온 활전복을 한 자리에 모아봤어요. 5미·8미·10미 사이즈 차이가 한눈에 보이시죠. 손질이 어렵다면 작은 사이즈, 회로 드시려면 큰 사이즈 추천. 사진 한 장이 카탈로그보다 정확해요.

🔗 사이즈별 주문 — 프로필 링크

#망남전복 #활전복 #사이즈비교 #산지직송 #완도전복 #쇼핑가이드 #신선한전복 #로컬푸드 #어촌일기 #어판장",,
30,전복은 어떻게 자라요? — 치패·중패·성패,"치패(2cm)에서 성패(8cm)까지 약 3년. 그 사이 분망(작은 가두리→큰 가두리)을 4번 거칩니다. 다시마·미역만 먹고 자라요. 전복 한 마리의 3년을 카드뉴스로 정리해봤어요.

🔗 망남전복 산지직송 — 프로필 링크

#망남전복 #전복양식 #치패 #성패 #어촌계 #자연양식 #완도 #산지직송 #로컬푸드 #어촌일기",,
31,릴스 — 별내위스테이 직거래 1분 다이제스트,"남양주 별내위스테이에서의 1분. 줄이 점점 길어지는 모습, 어머니가 비닐장갑 끼는 모습, 활전복이 박스에서 나오는 모습. 도시와 어촌이 만나는 순간을 한 영상에 담았어요.

🔗 우리 단지에도 부스 신청 — 프로필 링크

#망남마을 #직거래 #별내위스테이 #남양주 #공동구매 #도시공동체 #산지직송 #로컬리스트 #릴스 #완도전복",,
32,교육문화스테이션 수업 끝난 뒤,"수업이 끝나면 어르신들이 한참 더 남아 계세요. 처음엔 다음 수업 준비하시는 줄 알았는데, 그냥 친구 만나러 오시는 거예요. 마을학교는 학교이자 사랑방. 이런 풍경이 마을을 다시 돌아가게 합니다.

🔗 마을학교 일정 — 프로필 링크

#망남마을 #마을학교 #교육문화스테이션 #평생교육 #공동체 #완도 #어르신 #지역재생 #슬로우라이프 #로컬리스트",,
33,공동작업장 한쪽,"보수용 페인트, 실링제, 노끈, 망사. 어떤 도구든 망남에선 한 번 더 쓰입니다. '쓸만한 건 안 버린다'는 어르신 철학. 미니멀이 아니라 검소함이고, 검소함이 결국 친환경이에요.

🔗 망남마을 일상 — 프로필 링크

#망남마을 #공동작업장 #리유즈 #지속가능 #장인의도구 #완도 #어촌신활력 #로컬리스트 #검소함 #어촌일기",,
34,전복 양식 vs 자연산 — 진실은?,"'양식'이라는 단어가 부정적으로 쓰일 때가 많지만, 망남 가두리는 사실 자연 그대로의 환경이에요. 다시마·미역도 자생, 해수도 청정 1등급. 자연산보다 더 자연스러울 수 있다는 점, 알려드려요.

🔗 망남전복 산지직송 — 프로필 링크

#망남전복 #양식과자연산 #자연양식 #해양생태 #지속가능어업 #완도 #산지직송 #로컬푸드 #어촌일기 #환경",,
35,캐러셀 — 망남마을 1년 사계,"1년을 7장으로. 봄: 진달래 핀 마을길. 여름: 한뼘 해수욕장. 가을: 마을 잔치. 겨울: 분망 작업. 그리고 매 계절의 망남항. 사진 한 장씩 넘기시면 마을이 1년 동안 어떻게 흘러가는지 보여요.

🔗 망남 둘러보기 — 프로필 링크

#망남마을 #사계절 #완도 #어촌풍경 #어촌일기 #슬로우라이프 #남도여행 #로컬리스트 #힐링 #1년의기록",,
36,오늘의 혈압 체크,"건강관리실 이 간호사님이 어르신 혈압을 체크하시는 시간. 마을엔 전복 양식 때문에 갑자기 무릎 꿇거나 무거운 걸 드는 일이 많아 만성통증을 가진 분이 많으세요. 건강관리실은 그분들의 든든한 친구.

🔗 건강관리실 안내 — 프로필 링크

#망남마을 #건강관리실 #방문보건 #어르신건강 #어촌신활력 #완도 #지역의료 #슬로우라이프 #휴먼스토리 #로컬리스트",,
37,어촌신활력증진사업이란?,"2023~2026, 4년간 진행되는 정부 사업. 망남마을은 '거점 마을'로 선정됐어요. 시설 4개 신설/개선, 마을학교, 직거래 모델, 청년 정착 지원. 어렵게 느껴지는 정책을 한 카드뉴스에 정리.

🔗 사업 소개 자세히 — 프로필 링크

#어촌신활력 #지역정책 #망남마을 #완도군 #지방소멸 #로컬리스트 #지역재생 #공공정책 #국비사업 #지역경제",,
38,릴스 — 갯벌 생태 탐사 in 망남,"갯벌에서 발견한 바지락, 게, 새우, 고둥. 생물 8종을 1분 안에 만나보세요. 망남 갯벌이 왜 1등급인지, 살아있는 영상이 답합니다. 다음 갯벌 체험은 6월 시작이에요.

🔗 갯벌 체험 신청 — 프로필 링크

#망남마을 #갯벌 #생태탐사 #해양생태 #완도 #체험학습 #자연체험 #릴스 #지역체험 #로컬리스트",,
39,오늘 마을학교에 청년이 다녀갔어요,"전남대 학생 12명이 마을 답사로 다녀갔어요. 어르신과 마주 앉아 1시간씩 인터뷰. 학생 한 분은 '졸업 후 어촌으로 돌아갈 계획이 생겼다'고 했습니다. 마을의 미래는 이런 작은 만남으로 시작돼요.

🔗 망남마을 견학 신청 — 프로필 링크

#망남마을 #청년방문 #대학답사 #귀어 #어촌신활력 #지역재생 #완도 #로컬리스트 #지방소멸 #휴먼스토리",,
40,포장이 시작되는 금요일 새벽,"정기구독 발송일은 매주 금요일. 새벽 4시부터 손질 시작, 7시쯤이면 박스가 차곡차곡 쌓여요. 박스 위엔 손글씨로 받는 분 성함이 적힙니다. 정성을 양으로 환산할 수 있다면, 이 새벽에 다 담겨 있어요.

🔗 이번 금요일 발송 신청 — 프로필 링크

#망남전복 #정기구독 #금요일발송 #산지직송 #1일배송 #완도전복 #로컬푸드 #어촌일기 #쇼핑 #슬로우라이프",,
41,전복죽 만드는 5단계,"전복죽은 어렵지 않아요. ① 손질해 작게 썰기 ② 참기름에 볶기 ③ 불린 쌀 넣고 볶기 ④ 육수 부어 약불 ⑤ 간 맞추고 김 올리기. 5장 카드로 정리. 한 그릇이면 하루의 위로가 됩니다.

🔗 밀키트로 간편하게 — 프로필 링크

#망남전복 #전복죽 #쿠킹레시피 #로컬레시피 #건강식 #완도전복 #산지직송 #슬로우푸드 #쿠킹팁 #로컬푸드",,
42,"캐러셀 — 청산도 견학, 우리도 배웁니다","지난 4월, 어촌계장님 4분이 청산도로 1박 2일 견학을 다녀오셨어요. '공동체 회복' 모범사례인 청산도에서 마을 운영의 노하우를 배우고 오셨습니다. 다른 마을이 답이 되어주는 풍경, 5장에 담았어요.

🔗 망남마을 견학 — 프로필 링크

#망남마을 #청산도 #완도 #마을교류 #견학 #공동체회복 #어촌신활력 #로컬리스트 #지역재생 #남도여행",,
43,군수와의 대화 — 마이크 잡은 우리 어르신,"2월에 완도군민과 군수와의 정책토크가 열렸어요. 망남 어르신 한 분이 마이크 잡고 '우리 마을은 청년이 돌아오기 시작했다'고 자랑하셨답니다. 객석이 박수로 응답한 1분. 마을의 자긍심이 들리는 자리였어요.

🔗 마을 이야기 더 보기 — 프로필 링크

#망남마을 #완도군 #정책토크 #군민의소리 #어촌신활력 #지역재생 #완도 #로컬리스트 #공공의자리 #지방소멸",,
44,전복체험 4트랙 — 가두리·분망·손질·시식,"토요일 오전 9시부터 4시간. 어업인이 직접 가이드하는 4트랙 체험. ① 가두리 견학 ② 분망 작업 ③ 손질 강좌 ④ 시식. 가족 패키지 12만원, 학생 단체 25,000원/인. 카드뉴스로 한 번에 정리.

🔗 전복체험 신청 — 프로필 링크

#망남마을 #전복체험 #어촌체험 #가족체험 #완도여행 #학교단체 #체험학습 #산지직송 #로컬푸드 #로컬리스트",,
45,릴스 — 햇빛소득 마을 워크숍 30초,"마을 옥상에 태양광이 올라가면 무엇이 달라질까요. 어르신들이 발표 자료를 보며 진지하게 질문하시는 30초. 에너지 자립이 단순한 기술이 아니라 마을의 자존심이 되는 순간입니다.

🔗 마을 비전 — 프로필 링크

#망남마을 #햇빛소득 #에너지자립 #마을재생 #어촌신활력 #지속가능 #완도 #릴스 #로컬리스트 #지역에너지",,
46,오늘 도시로 떠나는 박스들,"박스 옆엔 손글씨로 동봉된 카드가 있어요. '잘 드세요. — 망남 어머니가.' 마트엔 없는, 직거래에만 있는 한 줄. 받으시는 분 식탁이 더 따뜻해지길 바랍니다.

🔗 이번 주 발송 신청 — 프로필 링크

#망남전복 #산지직송 #손편지 #직거래 #1일배송 #로컬푸드 #완도전복 #어촌일기 #슬로우라이프 #휴먼터치",,
47,생태에너지체험 4트랙 — 옥상·발전기·갯벌·업사이클링,"일요일 오전 10시부터. ① 옥상 발전 시설 견학 ② 미니 발전 키트 만들기 ③ 갯벌 생태 탐사 ④ 폐어구 업사이클링 워크숍. 일반 25,000원, 가족 85,000원. 카드뉴스로 4트랙 정리.

🔗 생태에너지체험 신청 — 프로필 링크

#망남마을 #생태에너지체험 #환경교육 #갯벌체험 #업사이클링 #완도 #체험학습 #가족체험 #어촌신활력 #로컬리스트",,
48,"캐러셀 — 어머니들의 손맛, 5종 시식 후기","마을 어머니들이 5종 요리를 한 상에 차려주셨어요. 전복죽·미역국·구이·전복장·전복김밥. 6장에 담았는데, 보시다가 입에 침이 고일 거예요. 매주 금요일 발송되는 망남전복으로 직접 만들어보세요.

🔗 활전복 받아 따라 만들기 — 프로필 링크

#망남마을 #전복요리 #어머니의손맛 #5종시식 #로컬레시피 #완도전복 #산지직송 #슬로우푸드 #쿠킹 #어촌일기",,
49,망남에서 보내는 일요일 오후,"새벽 작업이 끝나고 나면, 일요일 오후의 망남은 가장 평화로워요. 어르신들이 평상에 모여 차 한 잔, 아이들이 한뼘 해수욕장에서 첨벙. 일하는 마을과 쉬는 마을이 한 자리에 있는 풍경이에요.

🔗 망남마을 둘러보기 — 프로필 링크

#망남마을 #일요일오후 #어촌평화 #완도 #완도여행 #슬로우라이프 #남도여행 #힐링 #어촌일기 #로컬리스트",,
50,@mangnam_people을 팔로우하는 5가지 이유,"여기까지 함께 와주셔서 고마워요. ① 산지에서 직접 보내는 이야기 ② 어머니의 레시피 ③ 청년 귀어 휴먼스토리 ④ 직거래 우선 알림 ⑤ 마을 행사 라이브. 다섯 가지가 일주일에 두 번씩 도착합니다. 🌊

🔗 망남마을 사이트 — 프로필 링크

#망남마을 #mangnam_people #어촌일기 #산지직송 #완도전복 #로컬리스트 #슬로우라이프 #어촌신활력 #팔로우 #감사인사",,
